frequency,mfpt,success_rate,resonance_factor,is_schumann,is_neural
6.0,9.684388981353829,0.42,0.64,False,False
6.166666666666667,9.68448422421121,0.42,0.6790450928381964,False,False
6.333333333333333,9.685008059926806,0.42,0.7191011235955055,False,False
6.5,9.683198445636567,0.42,0.7596439169139466,False,False
6.666666666666667,9.684912817069424,0.42,0.8,False,False
6.833333333333333,9.687627238504781,0.42,0.839344262295082,False,False
7.0,9.683912767066925,0.42,0.8767123287671232,False,False
7.166666666666666,9.68338893135133,0.42,0.9110320284697507,False,False
7.333333333333333,9.684246117067758,0.42,0.9411764705882353,False,False
7.5,9.683960388495613,0.42,0.9660377358490566,False,False
7.666666666666666,9.68372228135216,0.42,0.9846153846153847,False,False
7.833333333333333,9.68429373849645,0.42,0.9961089494163424,True,False
8.0,9.683055581350496,0.42,1.0,False,True
8.166666666666666,9.684150874210378,0.42,0.9961089494163424,False,False
8.333333333333332,9.688532045649902,0.42,0.9846153846153847,False,False
8.5,9.684246117067758,0.42,0.9660377358490566,False,False
8.666666666666666,9.68348417420871,0.42,0.9411764705882353,False,False
8.833333333333332,9.683817524209543,0.42,0.9110320284697511,False,False
9.0,9.683722281352162,0.42,0.8767123287671232,False,False
9.166666666666666,9.684388981353829,0.42,0.8393442622950821,False,False
9.333333333333332,9.684103252781686,0.42,0.8000000000000003,False,False
9.5,9.684627088497281,0.42,0.7596439169139466,False,False
9.666666666666666,9.683912767066923,0.42,0.7191011235955057,False,False
9.833333333333332,9.684817574212044,0.42,0.6790450928381966,False,False
10.0,9.683912767066925,0.42,0.64,False,False
